place_id,place_name,name_vi,name_en,province_id,province_name,current_province_id,current_province_name,legacy_province_id,legacy_province_name,latitude,longitude,osm_id,osm_type,tourism,natural,historic,leisure,website,wikidata,wikipedia,source,validation_status,classified_at_utc,pipeline_run_id,admin_scope
OSM_node_443033827,Tượng đài Lý Thái Tổ,,Statue of King Ly Thai To,1,Hà Nội,1,Hà Nội,,,21.0274885,105.854501,443033827,node,,,memorial,,,,,OpenStreetMap,valid,2026-08-22T07:35:03Z,b70fe6c390a8,current_34
OSM_node_445345255,Nhà 48 phố Hàng Ngang,,House number 48 Hang Ngang Street,1,Hà Nội,1,Hà Nội,,,21.0343278,105.8504388,445345255,node,museum,,,,,Q10800786,vi:Nhà 48 Hàng Ngang,OpenStreetMap,valid,2026-08-22T07:35:03Z,b70fe6c390a8,current_34
OSM_node_446043019,thác Thăng thiên,,,25,Phú Thọ,25,Phú Thọ,,,20.917808,105.440221,446043019,node,attraction,,,,,,,OpenStreetMap,valid,2026-08-22T07:35:03Z,b70fe6c390a8,current_34
OSM_node_446043737,Khu du lịch Làng Văn hóa,,,25,Phú Thọ,25,Phú Thọ,,,20.870304,105.516019,446043737,node,attraction,,,,,,,OpenStreetMap,valid,2026-08-22T07:35:03Z,b70fe6c390a8,current_34
OSM_node_697344049,Hmong-Museum,,,25,Phú Thọ,25,Phú Thọ,,,20.7798352,105.3094247,697344049,node,,,monument,,,,,OpenStreetMap,valid,2026-08-22T07:35:03Z,b70fe6c390a8,current_34
OSM_node_1000087403,Nguyen Art Gallery,,,1,Hà Nội,1,Hà Nội,,,21.0285199,105.8364926,1000087403,node,gallery,,,,,,,OpenStreetMap,valid,2026-08-22T07:35:03Z,b70fe6c390a8,current_34
OSM_node_1336376418,Núi Viên Nam,,,25,Phú Thọ,25,Phú Thọ,,,20.9564159,105.4442091,1336376418,node,,peak,,,,,vi:Núi Viên Nam,OpenStreetMap,valid,2026-08-22T07:35:03Z,b70fe6c390a8,current_34
OSM_node_1498111667,Di Tích Lịch Sử Chùa Láng,,,1,Hà Nội,1,Hà Nội,,,21.0234337,105.802772,1498111667,node,,,archaeological_site,,,,,OpenStreetMap,valid,2026-08-22T07:35:03Z,b70fe6c390a8,current_34
OSM_node_1716371376,Ô Thuỵ Chương,,,1,Hà Nội,1,Hà Nội,,,21.0395242,105.8284048,1716371376,node,,,ruins,,,,,OpenStreetMap,valid,2026-08-22T07:35:03Z,b70fe6c390a8,current_34
OSM_node_1874058010,UBND xã Tiền Châu,,,25,Phú Thọ,25,Phú Thọ,,,21.2409433,105.6944382,1874058010,node,museum,,,,,,,OpenStreetMap,valid,2026-08-22T07:35:03Z,b70fe6c390a8,current_34
OSM_node_1874093498,Nhà Thờ Đạo Đức,,,25,Phú Thọ,25,Phú Thọ,,,21.240343,105.685388,1874093498,node,,,monument,,,,,OpenStreetMap,valid,2026-08-22T07:35:03Z,b70fe6c390a8,current_34
OSM_node_2089305122,Động Hương Tích,Động Hương Tích,Huong Tich Cave,1,Hà Nội,1,Hà Nội,,,20.614065,105.7337296,2089305122,node,,cave_entrance,,,,,,OpenStreetMap,valid,2026-08-22T07:35:03Z,b70fe6c390a8,current_34
