province_id,province_name,min_lon,min_lat,max_lon,max_lat,geojson_url,admin_scope,province_set_version,fetched_at_utc
01,Hà Nội,105.28695,20.564756,106.018302,21.384203,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/01_ha_noi.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
04,Cao Bằng,105.264845,22.358478,106.834385,23.119536,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/04_cao_bang.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
08,Tuyên Quang,104.334341,21.502739,105.59403,23.393308,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/08_tuyen_quang/08_tuyen_quang.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
11,Điện Biên,102.141487,20.894821,103.595035,22.54864,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/11_dien_bien/11_dien_bien.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
12,Lai Châu,102.318061,21.687088,103.983318,22.812316,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/12_lai_chau/12_lai_chau.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
14,Sơn La,103.213318,20.574944,105.021812,22.030847,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/14_son_la/14_son_la.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
15,Lào Cai,103.526827,21.328475,105.099254,22.845533,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/15_lao_cai/15_lao_cai.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
19,Thái Nguyên,105.429601,21.326626,106.244848,22.741687,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/19_thai_nguyen/19_thai_nguyen.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
20,Lạng Sơn,106.093722,21.324301,107.362807,22.460922,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/20_lang_son/20_lang_son.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
22,Quảng Ninh,106.43726,20.717361,108.085835,21.664779,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/22_quang_ninh/22_quang_ninh.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
24,Bắc Ninh,105.879743,20.970044,107.030336,21.627101,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/24_bac_ninh/24_bac_ninh.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
25,Phú Thọ,104.812105,20.306507,105.854744,21.720641,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/25_phu_tho/25_phu_tho.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
31,Hải Phòng,106.126171,20.125148,107.739616,21.234481,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/31_hai_phong/31_hai_phong.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
33,Hưng Yên,105.893333,20.244262,106.652675,21.007844,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/33_hung_yen/33_hung_yen.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
37,Ninh Bình,105.541688,19.922382,106.58711,20.704582,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/37_ninh_binh/37_ninh_binh.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
38,Thanh Hoá,104.373788,19.288795,106.073807,20.670899,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/38_thanh_hoa/38_thanh_hoa.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
40,Nghệ An,103.872845,18.553563,105.804233,19.997322,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/40_nghe_an/40_nghe_an.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
42,Hà Tĩnh,105.102024,17.914372,106.508304,18.806728,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/42_ha_tinh/42_ha_tinh.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
44,Quảng Trị,105.606055,16.300464,107.385952,18.090919,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/44_quang_tri/44_quang_tri.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
46,Huế,107.03254,15.996149,108.192161,16.743931,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/46_hue/46_hue.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
48,Đà Nẵng,107.208588,14.953287,112.736122,17.120279,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/48_da_nang/48_da_nang.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
51,Quảng Ngãi,107.331266,13.923521,109.142641,15.433333,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/51_quang_ngai/51_quang_ngai.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
52,Gia Lai,107.448344,12.997231,109.29687,14.703668,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/52_gia_lai/52_gia_lai.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
56,Khánh Hoà,108.549378,7.183812,117.827998,12.869092,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/56_khanh_hoa/56_khanh_hoa.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
66,Đắk Lắk,107.482394,12.161823,109.457014,13.695583,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/66_dak_lak/66_dak_lak.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
68,Lâm Đồng,107.203486,10.486296,108.96677,12.813424,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/68_lam_dong/68_lam_dong.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
75,Đồng Nai,106.411796,10.579703,107.575787,12.300009,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/75_dong_nai/75_dong_nai.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
79,Hồ Chí Minh,106.327727,8.631498,107.56973,11.502677,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/79_ho_chi_minh/79_ho_chi_minh.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
80,Tây Ninh,105.499718,10.395975,106.745673,11.783892,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/80_tay_ninh/80_tay_ninh.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
82,Đồng Tháp,105.186424,10.135172,106.812184,10.974078,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/82_dong_thap/82_dong_thap.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
86,Vĩnh Long,105.68095,9.528662,106.848014,10.341755,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/86_vinh_long/86_vinh_long.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
91,An Giang,102.877703,9.286736,105.573884,10.963408,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/91_an_giang/91_an_giang.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
92,Cần Thơ,105.223977,9.246475,106.301682,10.326026,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/92_can_tho/92_can_tho.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
96,Cà Mau,104.520498,8.413653,105.858648,9.637633,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/96_ca_mau/96_ca_mau.geojson,current_34,vn_admin_current_34,2026-09-12T15:42:19Z
